user_id,cellphone_id,rating,explanations
0,30,1,The mega pixie is too dull
0,5,3,old model
0,10,9,Big ram size
0,9,3,low performance
0,23,2,Not a fan of the brand
0,8,2,low internal memory
0,22,1,not a fan of the brand
0,16,2,low camera quality
0,19,1,not a fan of brand
0,3,10,Great OS and internal memory
1,7,8,best life 
1,31,7,well clear disply
1,18,5,not sure
1,3,10,good one best all features
1,32,6,same but best battery life
1,28,8,good cameraview
1,16,7,net bradcast is good
1,15,8,good net connection
1,4,7,well life and style
1,8,8,well life capacity
6,13,5,The ram is good
6,31,6,I like the performance
6,23,8,The battery size is good
6,1,2,the model and the performance too good
6,8,7,picture quality
6,19,1,the main camera is too good
6,32,10,the price was not good
6,7,9,good internal memory
6,27,4,the selfie camera is perfect
6,16,3,the model i like very much
8,29,6,Price was low
8,22,9,High Memory
8,32,9,Latest Model
8,25,8,High Memory
8,20,7,High RAm
8,0,5,High Memory
8,11,6,High Memory
8,17,8,High Memory
8,21,5,High Ram
8,27,8,High Memory
10,23,9,internal memory
10,5,3,memory too low
10,6,7,okay memory size
10,4,9,lots of memory
10,14,10,favorite brand and great memory
10,3,9,nice memory
10,12,8,memory good
10,16,8,okay memory
10,27,8,good phone size
10,11,8,good screen size
12,24,4,less specification
12,10,9,better touch screen
12,16,7,better usage
12,13,6,better display
12,6,6,lesser weight
12,32,5,android usage
12,27,4,camera better
12,20,7,selfie camera better
12,31,3,lesser memory
12,23,6,bigger display
16,15,10,i have a pxl 3 and love it
16,24,3,good brand but no nothing
16,0,1,i fucking hate apple
16,30,2,hate moto
16,27,4,maybe 
16,11,8,very good choice
16,26,5,seems ok
16,13,7,good choice
16,9,6,trusted brand
16,6,2,no clue
24,20,9,normal acess
24,28,8,different apps
24,3,10,high quality
24,21,8,different useage
24,22,7,normal type
24,6,7,different useage
24,18,8,different  app
24,10,9,very nice to use
24,23,7,normal acess
24,15,10,hihg quality
25,2,9,Worth mobile
25,5,6,reasonable price
25,14,2,Price too high
25,30,5,reasonable price
25,12,3,price too high
25,32,9,Worth product
25,8,10,Excellent price
25,13,1,waste
25,16,9,good buy
25,20,5,Average
26,20,6,netural
26,32,9,good company and easy to use
26,3,10,very good features
26,15,7,netural
26,23,6,very new and attractive model
26,25,9,easy to handle
26,22,10,good features and very easy to sue
26,12,8,branded
26,18,5,neutral
26,4,9,very good features
27,11,8,Good camera
27,8,8,Budget one
27,19,6,do not full
27,24,7,This is best for first time user
27,27,7,This is good for gaming
27,18,6,not good to buy
27,6,8,This is good for a game
27,21,9,Powerful processor
27,32,8,stack experience
27,4,10,cinematic camera
28,28,1,I only buy iPhone. 
28,31,1,I hate Android. 
28,5,10,This is the only way to go! 
28,8,1,Android is a joke. 
28,14,1,Not built to last. 
28,17,1,These phones are cheap. 
28,22,1,Not my kind of phone
28,29,1,I would never buy this!
28,3,10,I always choose iPhone!
28,25,1,Not my cup of tea at all! 
29,14,5,way overpriced!
29,8,7,reasonably priced but limited in quality
29,19,5,unfamiliar with brand
29,10,9,would be a top consideration
29,7,6,limited RAM in not beneficial
29,24,8,priced right!
29,2,6,I prefer something more recent
29,16,7,would definitely consider
29,26,5,price is too high
29,5,4,too old (many functions obsolete
30,17,8,cheaper with cool features
30,14,6,smaller selfie camera
30,19,7,cheap and affordable
30,15,6,affordable
30,26,9,good overall balanced features
30,9,4,poor performance
30,0,4,smaller battery size
30,16,8,cheap and affordable
30,4,7,balanced features but it is expensive
30,2,5,smaller RAM
32,12,1,too expensive
32,2,9,lightweight and popular brand
